Repartici¢n 1;Repartici¢n 2;Repartici¢n 3
Unidad de Nuevos Productos;;
Proyectos Internacionales;;
Equipo de Seguridad;;
Campa§as Publicitarias;;
Energ°as Renovables;;
Capacitaci¢n Interna;;
Programas de Bienestar;;
Gesti¢n de Inventarios;;
An†lisis de Mercado;;
Conservaci¢n de Ecosistemas;;
Auditor°a Interna;;
Desarrollo de Prototipos;;
Evaluaci¢n de Riesgos;;
Gesti¢n de Redes;;
Programas de Voluntariado;;
Mantenimiento de Infraestructura;;
Relaciones con Inversores;;
Relaciones con Medios;;
Cumplimiento Normativo;;
Gesti¢n Documental;;
Soporte al Cliente;;
Desarrollo Agr°cola;;
Alianzas EstratÇgicas;;
Programas de Formaci¢n;;
ComitÇ de êtica;;
Unidad de Nuevos Productos;Equipo de Innovaci¢n;
Proyectos Internacionales;Proyectos de Alto Impacto;
Equipo de Seguridad;Gesti¢n de Incidentes;
Campa§as Publicitarias;Investigaci¢n de Mercado;
Energ°as Renovables;Eficiencia EnergÇtica;
Capacitaci¢n Interna;Selecci¢n de Personal;
Programas de Bienestar;Seguridad Ocupacional;
Gesti¢n de Inventarios;Transporte y Distribuci¢n;
An†lisis de Mercado;Desarrollo de Estrategias;
Conservaci¢n de Ecosistemas;Gesti¢n Forestal;
Auditor°a Interna;Control Presupuestario;
Desarrollo de Prototipos;Investigaci¢n Avanzada;
Evaluaci¢n de Riesgos;Plan de Continuidad;
Gesti¢n de Redes;Soporte TÇcnico;
Programas de Voluntariado;Informes de Sostenibilidad;
Mantenimiento de Infraestructura;Servicios Generales;
Relaciones con Inversores;Comunicaci¢n Corporativa;
Relaciones con Medios;Redes Sociales;
Cumplimiento Normativo;êtica Corporativa;
Gesti¢n Documental;Cumplimiento Legal;
Soporte al Cliente;Gesti¢n de Quejas;
Desarrollo Agr°cola;Programas Comunitarios;
Alianzas EstratÇgicas;Desarrollo de Negocios;
Programas de Formaci¢n;Desarrollo de Carreras;
ComitÇ de êtica;Cumplimiento Regulatorio;
Unidad de Nuevos Productos;Equipo de Innovaci¢n;Laboratorio de Prototipos
Proyectos Internacionales;Proyectos de Alto Impacto;Proyectos de Investigaci¢n
Equipo de Seguridad;Gesti¢n de Incidentes;Auditor°a de Seguridad
Campa§as Publicitarias;Investigaci¢n de Mercado;Estrategia Digital
Energ°as Renovables;Eficiencia EnergÇtica;Investigaci¢n Ambiental
Capacitaci¢n Interna;Selecci¢n de Personal;Desarrollo Organizacional
Programas de Bienestar;Seguridad Ocupacional;Salud Mental
Gesti¢n de Inventarios;Transporte y Distribuci¢n;Optimizaci¢n Log°stica
An†lisis de Mercado;Desarrollo de Estrategias;Planificaci¢n Operativa
Conservaci¢n de Ecosistemas;Gesti¢n Forestal;Protecci¢n Ambiental
Auditor°a Interna;Control Presupuestario;Gesti¢n de Riesgos
Desarrollo de Prototipos;Investigaci¢n Avanzada;Desarrollo Tecnol¢gico
Evaluaci¢n de Riesgos;Plan de Continuidad;Seguridad F°sica
Gesti¢n de Redes;Soporte TÇcnico;Desarrollo de Software
Programas de Voluntariado;Informes de Sostenibilidad;Iniciativas Comunitarias
Mantenimiento de Infraestructura;Servicios Generales;Planificaci¢n Urbana
Relaciones con Inversores;Comunicaci¢n Corporativa;Gesti¢n de Crisis
Relaciones con Medios;Redes Sociales;Comunicados de Prensa
Cumplimiento Normativo;êtica Corporativa;Pol°ticas Internas
Gesti¢n Documental;Cumplimiento Legal;Mejora de Procesos
Soporte al Cliente;Gesti¢n de Quejas;Experiencia del Cliente
Desarrollo Agr°cola;Programas Comunitarios;Infraestructura Rural
Alianzas EstratÇgicas;Desarrollo de Negocios;Integraci¢n Regional
Programas de Formaci¢n;Desarrollo de Carreras;Mentor°a Profesional
ComitÇ de êtica;Cumplimiento Regulatorio;Transparencia Corporativa
